CUST_ID,CUST_NAME,INDUSTRY,CONTACT,PHONE,AMOUNT,SIGN_DATE,GRADE,NOTES
CUST10000,EFGH#0,IT,,85955065012,1882427,99999999,b,follow-up record #0
CUST10001,EFGH#1,Healthcare,李四,70479121520,259957,20160408,A,follow-up record #1
CUST10002,7890#2,Finance,郑十一,52946118359,4953118,20190125,B,follow-up record #2
CUST10003,YZ12#3,Manufacturing,钱七,25945276514,867401,20160704,C,follow-up record #3
CUST10004,UVWX#4,Healthcare,钱七,92617118527,4508207,20160703,C,follow-up record #4
CUST10005,ABCDE#5,Manufacturing,冯十二,29621391750,1921749,20190228,B,follow-up record #5
CUST10006,EFGH#6,Retail,钱七,56469773664,3115303,20200422,C,follow-up record #6
CUST10007,EFGH#7,Healthcare,王五,64650103677,3887719,20210521,B,follow-up record #7
CUST10008,UVWX#8,IT,赵六,94115256168,3375214,20190207,C,follow-up record #8
CUST10009,MNOP#9,Retail,周九,75885173340,2231975,20170424,C,follow-up record #9
CUST10010,ABCDE#10,Retail,冯十二,50869304593,1170410,20230803,A,follow-up record #10
CUST10011,EFGH#11,Finance,王五,91179162040,3237662,20211015,C,follow-up record #11
CUST10012,7890#12,IT,李四,79897975371,2863598,20160514,B,follow-up record #12
CUST10013,3456#13,IT,钱七,61239279317,902638,20191117,B,follow-up record #13
CUST10014,IJKL#14,Manufacturing,王五,65296891009,2729218,20220104,C,follow-up record #14
CUST10015,QRST#15,Finance,张三,34622902403,4086783,20160925,B,follow-up record #15
CUST10016,IJKL#16,Retail,郑十一,26953429645,3559538,20180925,B,follow-up record #16
CUST10017,QRST#17,Retail,孙八,54894798397,1025056,20180403,C,follow-up record #17
CUST10018,ABCD#18,Healthcare,郑十一,33546081117,605533,20150403,A,follow-up record #18
CUST10019,UVWX#19,IT,郑十一,34355628953,1807148,20230324,D,follow-up record #19
CUST10020,MNOP#20,Retail,周九,29425452588,3625919,20200714,D,follow-up record #20
CUST10021,ABCD#21,IT,张三,51265592790,2095880,20180418,D,follow-up record #21
CUST10022,IJKL#22,Retail,王五,38585795092,642374,20220904,A,follow-up record #22
CUST10023,7890#23,IT,李四,87148723724,3419248,20220807,D,follow-up record #23
CUST10024,ABCD#24,Finance,周九,10273965345,3826886,20190723,D,follow-up record #24
CUST10025,IJKL#25,Finance,,40345661958,4868516,20230124,C,follow-up record #25
CUST10026,ABCD#26,IT,冯十二,58892389701,1330641,20150903,B,follow-up record #26
CUST10027,EFGH#27,Healthcare,李四,79148537615,1015681,20240419,A,follow-up record #27
CUST10028,ABCDE#28,IT,周九,77395656183,2197461,20181123,C,follow-up record #28
CUST10029,MNOP#29,Manufacturing,周九,23459158491,2662286,20160115,A,follow-up record #29
CUST10030,EFGH#30,Healthcare,赵六,61853453170,2937698,20160412,C,follow-up record #30
CUST10031,IJKL#31,Retail,郑十一,82059569666,75624,20230522,A,follow-up record #31
CUST10032,IJKL#32,Manufacturing,李四,20935465462,2373542,20240423,C,follow-up record #32
CUST10033,MNOP#33,Manufacturing,郑十一,60051141832,784255,20210502,A,follow-up record #33
CUST10034,UVWX#34,Finance,钱七,26582398007,4715227,20150203,B,follow-up record #34
CUST10035,7890#35,IT,孙八,69634268041,1079090,20150512,A,follow-up record #35
CUST10036,UVWX#36,Finance,赵六,78226846794,4706643,20211024,B,follow-up record #36
CUST10037,MNOP#37,Finance,王五,52214063938,2796573,20211128,B,follow-up record #37
CUST10038,QRST#38,Finance,李四,49116348711,1875909,20180812,C,follow-up record #38
CUST10039,MNOP#39,Finance,张三,77541647528,2763660,20190225,C,follow-up record #39
CUST10040,UVWX#40,Healthcare,周九,79597856425,241530,20160506,C,follow-up record #40
CUST10041,ABCD#41,IT,冯十二,54466636139,3670737,20240904,D,follow-up record #41
CUST10042,ABCDE#42,Finance,钱七,14581441027,4371407,20231124,B,follow-up record #42
CUST10043,UVWX#43,Retail,李四,78064096143,1055432,20190910,D,follow-up record #43
CUST10044,UVWX#44,Retail,钱七,66730854143,3536959,20211124,B,follow-up record #44
CUST10045,ABCDE#45,Healthcare,钱七,51599771006,2559087,20190414,C,follow-up record #45
CUST10046,3456#46,Retail,吴十,79145019375,3979373,20171103,C,follow-up record #46
CUST10047,7890#47,Healthcare,孙八,19548486085,1894422,20180301,A,follow-up record #47
CUST10048,MNOP#48,Retail,冯十二,97021938461,3486583,20240423,D,follow-up record #48
CUST10049,3456#49,Retail,赵六,25110902746,3576384,20180326,D,follow-up record #49
CUST10050,ABCD#50,Healthcare,,35529888478,1128529,20221117,C,follow-up record #50
CUST10051,3456#51,Healthcare,郑十一,53699768305,1345113,20220809,B,follow-up record #51
CUST10052,QRST#52,Healthcare,吴十,74149195499,3699918,20161210,B,follow-up record #52
CUST10053,QRST#53,Manufacturing,孙八,65323203267,1275259,20180723,B,follow-up record #53
CUST10054,MNOP#54,IT,周九,51764219890,3918456,20210107,D,follow-up record #54
CUST10055,YZ12#55,Healthcare,张三,97772328814,59459,20200525,D,follow-up record #55
CUST10056,YZ12#56,Healthcare,郑十一,91946138999,1850642,20190716,A,follow-up record #56
CUST10057,YZ12#57,Manufacturing,周九,84137048657,1080619,20240901,D,follow-up record #57
CUST10058,ABCDE#58,Healthcare,张三,18580223223,3883007,20170109,D,follow-up record #58
CUST10059,UVWX#59,Finance,吴十,43465297211,2344185,20210527,A,follow-up record #59
CUST10060,3456#60,IT,郑十一,15367334673,585612,99999999,A,follow-up record #60
CUST10061,ABCD#61,Finance,赵六,95913333496,2011060,20170822,A,follow-up record #61
CUST10062,ABCDE#62,Finance,吴十,81651987043,1417517,20241024,A,follow-up record #62
CUST10063,IJKL#63,Manufacturing,李四,69214206111,4840133,20210723,B,follow-up record #63
CUST10064,EFGH#64,Healthcare,赵六,20459412983,4757386,20150618,D,follow-up record #64
CUST10065,UVWX#65,IT,郑十一,76365901207,3533708,20220214,C,follow-up record #65
CUST10066,3456#66,Finance,周九,28095485425,4524521,20220814,C,follow-up record #66
CUST10067,UVWX#67,Finance,李四,38583854995,3908257,20241022,D,follow-up record #67
CUST10068,UVWX#68,IT,吴十,97163253979,4099865,20180626,C,follow-up record #68
CUST10069,UVWX#69,Manufacturing,冯十二,81855261166,4343783,20180208,D,follow-up record #69
CUST10070,3456#70,Healthcare,赵六,80788009041,3769560,20150210,B,follow-up record #70
CUST10071,YZ12#71,Finance,钱七,77970468753,4652867,20230614,C,follow-up record #71
CUST10072,UVWX#72,Retail,钱七,41351184777,1022134,20180604,B,follow-up record #72
CUST10073,MNOP#73,Finance,吴十,38395955636,853274,20180508,C,follow-up record #73
CUST10074,IJKL#74,Manufacturing,张三,82597513073,2311090,20150118,C,follow-up record #74
CUST10075,IJKL#75,Retail,,20512005658,3947586,20220811,B,follow-up record #75
CUST10076,ABCD#76,Manufacturing,吴十,21620707565,4135069,20161021,A,follow-up record #76
CUST10077,IJKL#77,Finance,冯十二,41123955066,1003643,20230720,B,follow-up record #77
CUST10078,7890#78,Retail,吴十,55358718025,2571715,20241002,A,follow-up record #78
CUST10079,MNOP#79,Finance,钱七,77623303573,2022134,20170903,B,follow-up record #79
CUST10080,ABCD#80,Retail,吴十,80586995771,283802,20180523,C,follow-up record #80
CUST10081,3456#81,IT,赵六,37042417965,972813,20230421,B,follow-up record #81
CUST10082,QRST#82,Finance,李四,16137186039,4784854,20190804,D,follow-up record #82
